BoardID,Round,Mean25,Std25,Skew25,Kurt25,Min25,Max25,Med25,Mean26,Std26,Skew26,Kurt26,Min26,Max26,Med26,Mean27,Std27,Skew27,Kurt27,Min27,Max27,Med27,Corr2526,Corr2527,Corr2627,TempC
1,1,39.434,83.846,4.5728,22.2522,11.0,618.0,16.0,39.656,76.974,4.4028,20.3534,15.0,551.0,18.0,29.809,77.006,4.5975,22.7125,2.0,577.0,9.0,0.99932,0.99957,0.99889,54.44
1,2,29.016,53.712,5.9424,42.9201,11.0,546.0,16.0,31.621,58.679,5.6031,35.2735,14.0,526.0,16.0,17.359,35.265,3.8969,15.1714,1.0,210.0,7.0,0.9925,0.84985,0.87563,53.89
1,3,28.871,53.022,5.9402,42.8739,11.0,539.0,16.0,31.547,57.767,5.5612,34.612,15.0,511.0,17.0,17.18,34.74,3.9251,15.4619,3.0,208.0,7.0,0.99184,0.85169,0.88117,54.44
1,4,28.242,53.159,5.9586,43.18,10.0,541.0,16.0,31.383,58.457,5.6566,35.9548,13.0,527.0,16.0,16.91,34.825,3.9185,15.3957,2.0,209.0,7.0,0.99253,0.85041,0.87433,54.44
1,5,27.352,53.745,5.9031,42.3082,6.0,542.0,16.0,31.016,58.788,5.6297,35.5713,11.0,528.0,16.0,16.359,35.199,3.8954,15.3131,0.0,210.0,7.0,0.99271,0.85243,0.87488,54.44
1,6,27.914,54.321,5.8533,41.5559,7.0,545.0,16.0,31.594,59.244,5.6164,35.4108,12.0,531.0,16.0,16.754,35.826,3.8687,15.0813,0.0,213.0,7.0,0.99281,0.85844,0.87826,54.44
1,7,27.246,52.943,6.0538,44.5502,7.0,542.0,16.0,30.496,55.919,5.5687,34.6343,11.0,495.0,16.0,15.809,33.514,3.8646,15.0385,0.0,201.0,7.0,0.9911,0.83881,0.87453,54.44
1,8,27.906,53.305,5.9985,43.7317,9.0,544.0,16.0,31.031,56.854,5.5425,34.3079,13.0,502.0,16.0,16.48,34.399,3.8948,15.2077,1.0,207.0,7.0,0.99142,0.84781,0.88148,54.44
1,9,28.695,52.285,6.0579,44.6301,13.0,538.0,16.0,31.113,56.072,5.5893,34.9258,16.0,497.0,17.0,17.215,33.336,3.9203,15.4357,3.0,204.0,7.0,0.99106,0.84345,0.87812,54.44
1,10,28.406,52.339,6.0787,44.8882,11.0,539.0,16.0,30.898,56.056,5.5717,34.6806,14.0,496.0,16.0,16.719,33.311,3.9283,15.4952,2.0,203.0,7.0,0.99113,0.84257,0.87933,54.44
1,11,28.09,52.606,6.0179,43.9861,10.0,538.0,15.0,30.828,57.216,5.6297,35.4724,13.0,511.0,16.0,16.098,34.059,3.9281,15.4822,0.0,207.0,6.0,0.99178,0.84647,0.87607,54.44
1,12,28.598,52.462,6.0729,44.7967,11.0,540.0,16.0,30.906,55.897,5.5855,34.8522,15.0,496.0,17.0,16.898,33.41,3.9322,15.5369,2.0,205.0,7.0,0.99137,0.84286,0.87874,54.44
1,13,28.098,52.416,6.051,44.4761,11.0,538.0,16.0,31.07,56.174,5.5745,34.6902,14.0,497.0,17.0,16.855,33.368,3.9271,15.5283,1.0,205.0,7.0,0.99096,0.84221,0.87765,54.44
1,14,27.906,53.346,5.9554,43.1423,9.0,542.0,16.0,31.289,57.093,5.5495,34.4785,13.0,506.0,17.0,16.656,34.639,3.8859,15.2145,0.0,208.0,7.0,0.99179,0.84871,0.88003,54.44
1,15,27.914,53.136,6.0334,44.1323,10.0,543.0,16.0,30.91,56.466,5.566,34.5751,13.0,499.0,17.0,16.434,34.046,3.9153,15.3964,1.0,207.0,7.0,0.99144,0.8442,0.87893,54.44
1,16,28.34,52.363,6.0506,44.4018,11.0,537.0,16.0,30.875,56.144,5.5709,34.6325,15.0,496.0,16.5,16.621,33.545,3.9359,15.5745,2.0,205.0,7.0,0.99127,0.8449,0.88052,54.44
1,17,28.77,53.025,5.944,42.9465,11.0,539.0,16.0,31.305,58.236,5.6548,36.0339,14.0,527.0,16.0,16.824,34.711,3.92,15.3918,2.0,208.0,7.0,0.99315,0.85293,0.87587,54.44
1,18,28.18,51.792,5.9958,43.6315,11.0,529.0,16.0,30.758,56.983,5.6385,35.6338,15.0,511.0,16.0,16.09,33.777,3.9526,15.694,2.0,208.0,6.0,0.99226,0.84864,0.87656,54.44
1,19,28.129,51.826,6.0893,45.0262,10.0,534.0,16.0,30.484,54.93,5.5768,34.753,15.0,487.0,16.0,15.949,32.893,3.9064,15.2781,1.0,199.0,6.0,0.99131,0.83894,0.87578,54.44
1,20,28.219,52.585,6.0075,43.8834,11.0,538.0,16.0,31.125,58.15,5.6721,36.1931,14.0,526.0,16.0,16.355,34.494,3.9397,15.5859,1.0,208.0,6.5,0.99255,0.84942,0.87523,54.44
1,21,27.445,51.975,6.0638,44.6615,9.0,534.0,15.0,30.434,55.758,5.6095,35.1479,13.0,496.0,16.0,15.543,33.194,3.9373,15.5328,1.0,202.0,6.0,0.99116,0.84314,0.8762,54.44
1,22,27.844,52.596,6.0814,44.9247,10.0,541.0,16.0,30.66,55.866,5.574,34.6845,13.0,495.0,16.5,16.137,33.445,3.9194,15.3997,1.0,203.0,7.0,0.9911,0.8421,0.87837,54.44
1,23,28.207,51.988,6.0358,44.1414,10.0,532.0,16.0,30.762,56.169,5.5887,34.8944,14.0,498.0,16.0,16.359,33.308,3.9328,15.5455,1.0,203.0,7.0,0.99167,0.84842,0.88157,54.44
1,24,28.316,51.894,6.0746,44.7176,11.0,533.0,16.0,30.746,55.803,5.6088,35.1607,16.0,496.0,17.0,16.332,32.966,3.9362,15.5208,2.0,201.0,7.0,0.9917,0.84275,0.87701,54.44
1,25,27.984,51.448,6.1339,45.6028,11.0,532.0,16.0,30.461,54.307,5.5831,34.7916,15.0,482.0,16.0,16.195,32.301,3.9443,15.6104,2.0,196.0,7.0,0.99119,0.83567,0.87511,54.44
1,26,28.121,52.129,6.1251,45.5395,11.0,539.0,16.0,30.781,55.266,5.569,34.5859,14.0,489.0,17.0,16.535,32.694,3.9351,15.5192,1.0,199.0,7.0,0.99085,0.83981,0.87943,54.44
1,27,27.734,51.874,6.1108,45.3306,10.0,535.0,16.0,30.465,54.549,5.565,34.5061,14.0,481.0,16.0,16.207,32.581,3.9078,15.366,0.0,197.0,7.0,0.99049,0.83661,0.87604,54.44
1,28,27.855,53.702,5.9272,42.5992,10.0,543.0,16.0,31.559,58.69,5.6551,35.8805,12.0,529.0,16.5,16.879,35.098,3.9222,15.456,1.0,211.0,7.0,0.9928,0.85342,0.87562,55.0
1,29,27.906,53.042,6.0682,44.6653,10.0,544.0,16.0,30.738,56.68,5.5643,34.548,13.0,501.0,16.0,16.23,34.208,3.928,15.4602,2.0,207.0,6.0,0.99121,0.84321,0.87987,54.44
1,30,28.348,51.843,6.1115,45.3191,12.0,535.0,16.0,30.445,55.007,5.5798,34.7686,15.0,487.0,16.0,16.238,32.726,3.9127,15.3079,3.0,198.0,7.0,0.99117,0.83832,0.8763,54.44
1,31,27.688,51.559,6.0831,44.8353,10.0,530.0,15.0,30.316,55.4,5.6443,35.597,15.0,495.0,16.0,15.516,32.722,3.9579,15.7109,1.0,198.0,6.0,0.99162,0.84047,0.87315,54.44
1,32,27.898,52.175,6.0877,44.9919,10.0,537.0,16.0,30.648,55.841,5.608,35.1035,14.0,496.0,17.0,16.242,33.196,3.947,15.6246,1.0,203.0,7.0,0.99108,0.84031,0.87559,54.44
